23,22,22,27,24,24,25,25,25,25,25,26,23,26,26,23,26,26,25,26,23,26,26,30,26,26,25,26,26,27,27,27,26,26,27,27,27,26,27,27,26,25,26,27,26,27,27,28,28,29,29,28,31,31,31,29,29,32,28,29,30,31,31,33,31,34,33,33,36,35,33,33,34,35,35,35,35,34,33,31,24,22,26,25,23,23,23,23,26,25,26,22,24,24,23,25,26,23,25,26,24,25,25,27,25,25,27,24,25,25,25,25,25,27,26,27,25,26,26,26,26,27,26,25,26,26,27,27,27,28,28,28,30,31,30,30,30,30,28,32,32,31,30,31,30,35,34,33,35,33,34,35,31,33,34,35,33,33,32,31
26,25,25,24,25,24,22,24,25,25,25,25,25,25,23,23,26,25,25,25,25,27,26,26,24,28,26,26,25,27,26,27,27,27,26,28,27,25,25,26,27,25,26,27,27,26,27,28,28,29,31,29,31,31,32,30,30,30,31,31,31,31,32,33,33,34,34,35,33,33,33,35,33,32,34,34,33,33,33,32,25,26,25,25,23,25,24,25,24,24,26,27,26,23,25,25,26,27,28,25,25,25,26,26,25,27,25,27,25,27,27,25,28,28,27,27,26,28,27,28,27,26,27,26,26,27,26,29,27,30,32,31,32,33,31,32,31,31,29,32,31,33,32,33,33,35,33,36,33,33,33,33,35,35,32,33,33,33,33,33
23,27,26,26,23,26,25,24,26,27,24,26,25,24,26,25,26,26,25,28,26,26,26,26,25,27,27,28,26,26,27,27,29,27,28,29,26,27,27,29,28,27,26,28,27,27,27,29,28,30,31,30,31,32,32,33,32,31,30,32,32,33,31,33,33,34,35,35,35,32,34,33,33,33,33,33,32,34,35,33,23,23,25,26,25,25,26,25,26,25,25,26,27,25,28,25,27,25,26,25,26,26,27,25,25,27,26,26,25,25,27,27,27,27,29,27,28,28,28,26,25,28,26,27,26,27,27,28,28,30,30,32,31,33,31,31,32,31,31,32,32,31,31,33,32,33,34,33,33,33,33,33,32,32,32,33,33,33,33,33
22,25,25,23,24,26,25,22,27,25,25,27,26,26,27,27,25,26,26,28,27,26,27,26,26,26,28,26,28,27,28,29,28,28,29,30,28,28,27,28,27,29,26,26,28,27,29,29,28,30,32,29,31,31,32,31,31,32,32,32,33,31,32,33,32,34,32,35,34,33,33,32,33,33,33,36,34,35,33,31,24,25,24,25,25,25,24,22,26,25,25,27,26,26,27,27,26,26,26,27,27,27,27,27,25,27,26,25,26,28,29,28,29,28,27,27,27,27,28,26,27,26,27,27,27,27,28,31,29,30,31,31,32,33,31,32,33,33,30,31,31,31,33,32,33,33,33,35,33,32,32,33,33,33,35,34,35,33,31,32
23,25,24,25,22,23,22,23,23,25,26,26,25,26,28,26,27,28,25,27,27,27,26,28,27,26,26,26,27,26,26,29,29,28,27,28,27,27,28,27,27,27,27,27,26,29,28,29,30,31,32,32,32,31,31,30,33,33,31,29,31,31,31,33,33,33,33,34,31,33,32,33,33,33,34,33,31,32,31,29,23,25,22,25,23,23,23,22,24,25,27,25,26,27,28,25,25,26,27,27,27,27,27,28,27,28,28,27,28,29,27,28,29,28,28,27,28,29,28,27,28,27,28,27,28,27,28,30,29,29,31,30,32,32,31,31,30,31,30,30,31,29,31,31,31,33,33,34,33,32,34,34,33,33,33,31,31,32,31,31
23,25,25,25,24,23,23,23,25,25,23,25,23,25,27,26,25,26,26,27,27,26,27,27,27,26,28,28,29,27,29,29,29,29,28,27,28,27,28,27,27,28,28,29,27,29,29,30,29,31,31,33,33,32,33,31,32,31,29,32,32,31,33,32,31,32,33,33,33,33,33,34,33,32,32,31,32,31,33,30,25,25,22,25,22,23,23,22,23,23,23,25,23,23,24,24,23,24,26,24,26,25,26,26,26,26,27,26,26,28,26,27,29,28,29,27,29,27,28,28,28,29,27,29,29,28,28,29,28,30,31,32,31,31,31,31,31,31,30,31,30,30,31,31,33,33,33,33,34,31,33,33,31,33,31,31,29,31,31,29
25,23,23,23,23,21,25,23,22,23,23,23,23,23,25,23,24,24,25,24,25,24,26,26,26,27,25,25,27,27,27,29,28,30,30,28,28,28,27,29,28,28,29,28,28,27,29,30,30,31,32,30,31,33,33,33,31,30,30,31,31,30,31,32,33,32,35,34,33,31,32,31,31,31,30,30,32,32,31,30,27,25,23,24,23,23,23,23,23,23,25,22,25,22,23,23,22,25,25,23,25,23,24,25,25,25,25,26,25,27,26,27,28,28,28,27,28,27,28,29,29,28,28,27,28,30,28,28,31,30,31,31,33,32,33,33,32,31,30,32,32,32,31,33,33,33,35,33,33,32,32,33,31,32,31,30,30,31,30,30
27,25,25,24,24,23,25,23,23,23,23,23,22,25,23,23,24,23,25,25,23,25,25,25,24,24,25,24,25,25,25,27,26,27,27,24,28,27,28,27,29,28,30,28,29,28,30,29,29,31,31,30,31,33,31,31,32,32,30,31,32,33,33,35,33,32,33,33,33,31,32,32,31,32,31,29,31,31,30,30,26,27,25,25,22,23,26,24,25,25,23,23,23,23,25,23,23,23,25,23,22,23,22,23,23,26,25,25,25,26,25,24,27,26,25,25,25,26,26,25,26,26,27,27,28,28,28,31,30,28,31,32,32,32,32,32,31,31,30,31,31,33,33,32,31,32,33,32,31,30,30,31,30,29,29,28,29,30,30,30
26,25,26,26,24,26,25,26,25,23,25,25,24,24,26,25,23,23,24,24,23,23,22,25,23,25,25,22,22,24,23,24,25,25,25,25,23,25,25,23,25,26,26,26,27,26,27,28,27,29,29,29,32,31,31,29,29,31,30,31,31,33,29,31,32,30,31,30,31,29,32,30,30,29,29,27,28,29,27,28,27,26,25,25,25,25,25,26,27,25,26,26,25,25,27,25,24,25,25,23,24,23,25,24,23,25,23,23,25,25,24,23,25,24,25,25,25,25,25,25,26,27,26,27,26,27,25,25,26,27,29,29,30,30,30,30,29,30,30,32,30,31,31,32,29,31,29,30,30,30,30,28,27,28,27,26,26,27,25,26
27,27,26,24,25,25,27,26,26,27,26,27,27,26,27,26,27,26,26,25,23,26,25,26,25,23,26,25,25,23,25,26,25,26,25,25,25,23,25,26,27,28,29,27,27,27,26,27,28,27,29,29,29,30,30,31,30,31,29,29,29,30,30,30,28,27,29,28,28,29,28,27,25,23,19,19,18,18,21,24,27,27,26,27,25,26,27,26,25,28,27,28,26,27,27,27,28,28,27,27,27,27,27,27,27,27,27,25,25,25,26,25,26,24,26,24,24,25,26,27,28,28,30,28,30,29,27,28,29,29,30,29,29,28,30,31,31,30,29,29,29,28,30,29,28,27,27,27,25,23,19,18,18,11,12,10,10,11,14,17
